iter	Passed	Remaining
0	143	143719
1	148	74007
2	150	50174
3	155	38597
4	157	31253
5	159	26379
6	161	22851
7	163	20212
8	164	18166
9	168	16721
10	171	15391
11	173	14311
12	176	13379
13	178	12541
14	180	11828
15	183	11267
16	186	10759
17	188	10282
18	190	9824
19	192	9415
20	194	9077
21	198	8810
22	199	8492
23	201	8209
24	203	7942
25	205	7693
26	207	7464
27	209	7260
28	212	7108
29	214	6926
30	216	6753
31	217	6589
32	219	6436
33	221	6290
34	223	6152
35	226	6063
36	228	5941
37	230	5824
38	232	5720
39	233	5614
40	235	5513
41	237	5421
42	240	5362
43	242	5273
44	244	5191
45	246	5111
46	248	5032
47	250	4962
48	254	4939
49	256	4874
50	259	4829
51	263	4806
52	266	4763
53	272	4771
54	275	4731
55	278	4701
56	281	4665
57	288	4677
58	290	4627
59	291	4574
60	293	4521
61	295	4470
62	297	4422
63	300	4400
64	302	4354
65	304	4311
66	306	4265
67	308	4223
68	309	4181
69	311	4141
70	315	4124
71	317	4087
72	318	4050
73	320	4014
74	322	3980
75	324	3945
76	326	3910
77	328	3881
78	331	3866
79	333	3834
80	335	3804
81	337	3778
82	338	3740
83	340	3713
84	342	3685
85	347	3688
86	348	3660
87	350	3632
88	352	3605
89	354	3580
90	355	3555
91	357	3530
92	361	3521
93	362	3498
94	364	3474
95	366	3453
96	368	3429
97	370	3407
98	371	3384
99	375	3383
100	377	3363
101	379	3342
102	381	3321
103	383	3300
104	384	3280
105	386	3261
106	390	3258
107	392	3241
108	394	3223
109	396	3205
110	397	3186
111	399	3168
112	401	3151
113	405	3148
114	407	3133
115	409	3119
116	410	3100
117	412	3086
118	414	3070
119	417	3060
120	419	3050
121	421	3036
122	424	3026
123	426	3012
124	428	2997
125	433	3006
126	435	2991
127	437	2978
128	439	2966
129	441	2953
130	443	2941
131	448	2951
132	450	2939
133	452	2926
134	454	2914
135	456	2902
136	459	2892
137	464	2898
138	466	2887
139	468	2877
140	470	2865
141	471	2850
142	473	2839
143	479	2847
144	481	2837
145	483	2826
146	485	2816
147	487	2805
148	489	2794
149	494	2801
150	496	2791
151	498	2781
152	501	2773
153	504	2771
154	510	2780
155	511	2769
156	514	2761
157	516	2752
158	518	2743
159	524	2752
160	526	2742
161	528	2733
162	530	2723
163	532	2713
164	534	2703
165	537	2700
166	539	2692
167	542	2684
168	544	2675
169	546	2668
170	548	2659
171	554	2670
172	557	2666
173	559	2657
174	561	2649
175	563	2639
176	566	2635
177	569	2629
178	571	2620
179	573	2611
180	575	2602
181	577	2594
182	579	2586
183	583	2589
184	585	2580
185	587	2572
186	589	2563
187	601	2599
188	604	2593
189	606	2586
190	608	2578
191	613	2579
192	615	2573
193	617	2563
194	618	2554
195	621	2547
196	622	2539
197	624	2530
198	630	2538
199	632	2531
200	634	2523
201	636	2515
202	638	2507
203	643	2509
204	646	2505
205	648	2497
206	650	2492
207	652	2485
208	654	2476
209	658	2478
210	660	2471
211	662	2463
212	665	2458
213	667	2450
214	669	2443
215	674	2446
216	676	2439
217	678	2434
218	680	2427
219	682	2419
220	684	2411
221	687	2410
222	690	2405
223	692	2400
224	695	2394
225	697	2387
226	698	2379
227	704	2384
228	706	2378
229	708	2370
230	710	2364
231	712	2357
232	714	2351
233	720	2358
234	722	2350
235	723	2343
236	725	2336
237	727	2328
238	729	2321
239	733	2321
240	735	2317
241	737	2310
242	739	2303
243	741	2297
244	743	2290
245	744	2283
246	749	2285
247	751	2279
248	753	2272
249	755	2265
250	756	2258
251	758	2252
252	760	2245
253	764	2245
254	766	2238
255	768	2232
256	769	2225
257	771	2219
258	773	2212
259	775	2206
260	779	2206
261	781	2200
262	782	2194
263	784	2187
264	786	2182
265	788	2175
266	790	2169
267	793	2168
268	795	2162
269	797	2156
270	799	2150
271	801	2145
272	803	2140
273	808	2142
274	811	2138
275	813	2133
276	815	2128
277	817	2122
278	819	2117
279	828	2130
280	831	2128
281	834	2125
282	839	2127
283	841	2121
284	843	2117
285	845	2111
286	849	2109
287	851	2104
288	855	2105
289	857	2100
290	859	2094
291	861	2088
292	863	2083
293	865	2077
294	867	2072
295	870	2070
296	872	2064
297	874	2058
298	875	2053
299	877	2047
300	879	2042
301	881	2036
302	885	2036
303	887	2030
304	888	2025
305	890	2019
306	892	2014
307	894	2008
308	895	2003
309	899	2002
310	901	1997
311	903	1992
312	905	1987
313	907	1983
314	909	1978
315	914	1979
316	916	1975
317	918	1970
318	920	1965
319	922	1959
320	923	1954
321	925	1949
322	929	1948
323	931	1943
324	933	1939
325	935	1934
326	937	1929
327	939	1924
328	941	1920
329	946	1922
330	949	1918
331	951	1914
332	953	1910
333	956	1906
334	964	1914
335	966	1909
336	968	1904
337	969	1899
338	971	1894
339	975	1894
340	977	1889
341	979	1885
342	981	1880
343	983	1875
344	985	1871
345	990	1871
346	992	1868
347	994	1863
348	997	1859
349	999	1856
350	1006	1860
351	1009	1858
352	1012	1855
353	1014	1852
354	1017	1847
355	1022	1848
356	1024	1844
357	1026	1840
358	1028	1836
359	1030	1832
360	1036	1834
361	1039	1831
362	1043	1831
363	1059	1850
364	1063	1850
365	1071	1855
366	1074	1852
367	1077	1850
368	1079	1846
369	1085	1848
370	1087	1844
371	1095	1849
372	1099	1848
373	1104	1848
374	1107	1845
375	1114	1849
376	1116	1845
377	1119	1842
378	1121	1837
379	1123	1833
380	1126	1829
381	1128	1825
382	1130	1820
383	1132	1816
384	1134	1811
385	1136	1807
386	1139	1804
387	1142	1801
388	1144	1798
389	1147	1795
390	1154	1798
391	1157	1795
392	1159	1791
393	1161	1787
