iter	Passed	Remaining
0	3	297
1	4	244
2	6	226
3	8	204
4	10	198
5	12	196
6	14	196
7	17	199
8	19	194
9	21	192
10	23	189
11	25	185
12	27	183
13	29	181
14	32	186
15	34	183
16	36	179
17	38	177
18	40	174
19	42	170
20	44	168
21	47	166
22	48	163
23	50	160
24	52	158
25	54	155
26	56	152
27	58	150
28	61	151
29	63	148
30	66	147
31	68	145
32	70	142
33	72	139
34	75	139
35	79	140
36	80	137
37	82	135
38	84	132
39	86	129
40	88	127
41	90	125
42	93	123
43	95	121
44	97	118
45	99	116
46	101	114
47	103	111
48	105	110
49	107	107
50	109	105
51	111	102
52	113	100
53	115	98
54	116	95
55	118	93
56	122	92
57	125	90
58	127	88
59	131	87
60	133	85
61	135	83
62	138	81
63	140	78
64	143	77
65	145	74
66	147	72
67	150	70
68	153	68
69	155	66
70	157	64
71	159	61
72	161	59
73	163	57
74	166	55
75	168	53
76	170	50
77	172	48
78	174	46
79	176	44
80	178	41
81	181	39
82	184	37
83	186	35
84	188	33
85	190	31
86	192	28
87	195	26
88	197	24
89	200	22
90	202	20
91	204	17
92	206	15
93	209	13
94	212	11
95	214	8
96	216	6
97	219	4
98	220	2
99	222	0
